,Cities,Cloud Cover,Humidity,Latitude,Temperature,Wind Speed
249,ushuaia,0,70,-84.46526777916371,42.8,3.36
250,castro,48,86,-48.10266909230234,57.97,10.89
251,dasoguz,90,100,40.94093298651666,27.5,6.93
252,port+elizabeth,75,93,-76.13652971567113,64.4,3.36
253,agar,0,48,23.715430717269115,78.49,4.79
254,hami,0,48,37.44490668410684,38.76,1.61
255,saskylakh,80,65,84.0969465920223,-14.21,10.33
256,barentsburg,36,75,88.93644685185984,-11.02,15.19
257,bonavista,0,100,50.966018115899146,31.69,10.33
258,harper,0,100,-0.7659732175553131,81.51,8.88
259,loudi,92,100,27.853990188012958,47.49,9.26
260,ardistan,0,65,34.29694273888438,46.99,4.07
261,lanxi,92,86,29.45185626485113,48.25,6.53
262,albany,90,81,-65.00490986887218,43.29,11.41
263,ponta+do+sol,75,77,17.06068754425162,64.4,13.87
264,lebu,0,94,-32.28447249836686,53.83,23.13
265,port+elizabeth,75,93,-68.59069045741333,64.4,3.36
266,pitkyaranta,92,93,61.522321590393545,30.66,9.15
267,tumannyy,20,100,82.33195147251914,1.09,1.54
268,ribeira+grande,76,100,42.613850796313784,63.69,17.83
269,lebu,0,94,-34.33352506587592,53.83,23.13
270,ushuaia,0,70,-81.92787191905416,42.8,3.36
271,torbay,90,86,45.985495391064745,28.4,10.29
272,bur+gabo,32,100,-5.592367210710037,82.36,10.67
273,longyearbyen,75,92,82.88485323483363,24.8,6.93
274,souillac,40,65,-55.723047395069216,82.4,12.75
275,madison,75,79,32.61745884112874,30.65,3.0
276,georgetown,75,100,-13.785507385581965,75.2,4.7
277,punta+arenas,20,75,-51.28122080902331,42.8,5.82
278,soderhamn,76,87,61.2880231555653,28.32,8.25
279,anta,0,62,-13.673279170678015,74.26,4.41
280,chuy,12,89,-57.98003539428712,61.62,13.8
281,gloversville,90,81,43.36108136645964,40.96,11.41
282,birao,0,30,10.562032471911664,67.24,14.07
283,illoqqortoormiut,24,67,83.80792736938452,-8.9,17.09
284,ushuaia,0,70,-86.45989740578248,42.8,3.36
285,najran,0,54,17.56954746826601,57.2,3.89
286,colares,0,61,37.97079284048519,41.81,17.22
287,puerto+ayora,32,100,-2.0331551737820917,69.22,6.42
288,punta+arenas,20,75,-78.92803594857936,42.8,5.82
289,rincon,90,88,18.26392218841815,59.58,1.88
290,saint-philippe,0,65,-64.78152513762785,81.45,18.34
291,dwarka,0,88,21.69684215738198,78.81,13.13
292,bredasdorp,64,88,-70.5430180267798,64.4,3.36
293,port+alfred,76,87,-56.91188407354498,71.83,9.1
294,taltal,32,97,-25.825790390456007,51.54,0.76
295,hilton+head+island,90,82,30.92266390276893,61.47,5.82
296,rikitea,92,100,-21.153431466443536,77.14,12.46
297,ilulissat,48,92,71.66625997564887,28.4,2.24
298,patzite,64,96,15.007600548131919,43.62,1.99
299,farafangana,92,100,-23.868086552560385,72.96,10.89
300,sakakah,36,77,28.117285197266497,53.07,11.68
301,umzimvubu,92,94,-40.627183711135736,57.61,14.63
302,gari,64,89,58.89158825697956,16.44,3.51
303,kurchum,20,86,48.23164905223638,23.05,4.0
304,castro,48,86,-56.113198961779794,57.97,10.89
305,beliator,0,60,23.24156375365378,76.33,6.24
306,faya,12,32,17.93937272096497,58.42,11.45
307,valparaiso,40,93,-31.35143448137535,53.6,6.93
308,mutsamudu,20,100,-7.096543021971797,81.46,7.09
309,busselton,0,92,-67.13505141461167,69.81,4.9
310,victoria,90,100,-8.300268753540223,44.31,6.58
311,nanortalik,48,88,49.557190859322674,32.68,12.06
312,vestmanna,92,93,62.632621963662416,44.6,19.46
313,krasnoturansk,40,85,54.515182515625185,15.8,4.47
314,ushuaia,0,70,-88.7157900615496,42.8,3.36
315,punta+arenas,20,75,-72.30277706393774,42.8,5.82
316,jamestown,90,69,-24.929966590681218,40.41,6.93
317,belushya+guba,80,100,76.6164404411237,28.72,11.83
318,priiskovyy,0,62,54.92099226521103,-8.95,4.07
319,ushuaia,0,70,-57.374147943534396,42.8,3.36
320,busselton,0,92,-73.55183693821465,69.81,4.9
321,bubaque,12,100,8.0706190585975,81.19,12.12
322,vardo,20,78,86.95567657647638,15.8,11.41
323,rikitea,92,100,-47.58885427450898,77.14,12.46
324,longyearbyen,75,92,79.77197327787232,24.8,6.93
325,punta+arenas,20,75,-55.98806464660103,42.8,5.82
326,saskylakh,80,65,70.66108902842439,-14.21,10.33
327,la+ronge,5,79,54.49435816397002,26.6,6.93
328,coihaique,0,81,-46.72191625957665,39.38,4.7
329,ligayan,32,100,3.3458341883581255,85.02,5.3
330,ribeira+grande,76,100,29.791570749401345,63.69,17.83
331,karratha,0,10,-17.281385231829745,106.93,8.25
332,punta+arenas,20,75,-88.39171869861543,42.8,5.82
333,punta+arenas,20,75,-56.97054111389685,42.8,5.82
334,ushuaia,0,70,-89.81180834955617,42.8,3.36
335,hermanus,64,84,-69.92284514498223,62.34,4.23
336,tasiilaq,92,93,79.39402437248194,33.8,9.66
337,hermanus,64,84,-75.11458771804341,62.34,4.23
338,tumannyy,8,100,78.28156765176601,22.24,15.41
339,springdale,1,48,49.63212092370725,42.8,4.7
340,klaksvik,92,93,74.41513633555144,44.6,19.46
341,mitsamiouli,20,78,-7.0252894983307925,80.6,2.24
342,taolanaro,0,75,-73.21028802007187,3.39,31.92
343,albany,90,81,-39.08070903453907,43.29,11.41
344,busselton,0,92,-63.87927985479756,69.81,4.9
345,labuhan,80,100,-9.974877411939019,81.91,18.21
346,maniitsoq,88,97,60.620841876512856,31.15,15.41
347,castro,48,86,-49.97196321030797,57.97,10.89
348,busselton,0,92,-76.62773375711507,69.81,4.9
349,kondoa,80,79,-5.14640982281027,67.74,5.41
350,constitucion,88,94,-34.80762984800252,54.1,11.79
351,ushuaia,0,70,-72.78066500485465,42.8,3.36
352,mangrol,0,48,16.215019343803974,85.51,11.45
353,lebu,0,94,-38.43861989404825,53.83,23.13
354,greencastle,1,75,39.53317075262299,35.06,2.84
355,puerto+ayora,32,100,-3.3886504214473945,69.22,6.42
356,mbandaka,24,98,0.9889874519744097,72.87,3.0
357,port+elizabeth,75,93,-68.75570493676324,64.4,3.36
358,ribeira+grande,76,100,35.85668076047831,63.69,17.83
359,ilulissat,48,92,88.1222340349826,28.4,2.24
360,randolph,90,81,43.8447090635633,44.89,7.43
361,victoria,90,100,-4.320059587670443,44.31,6.58
362,harper,0,100,2.163226212154555,81.51,8.88
363,sao+gotardo,92,99,-19.10311907035492,62.38,6.58
364,grand+gaube,40,65,-11.785678040514128,82.4,12.75
365,dikson,88,96,86.00565105984006,24.49,24.92
366,lebu,0,94,-33.233968143278716,53.83,23.13
367,ilulissat,48,92,76.5123603433037,28.4,2.24
368,mar+del+plata,0,88,-51.82476005607418,62.6,11.41
369,cape+town,0,77,-67.0639881608767,64.4,9.17
370,lagoa,56,100,43.51476362476987,65.8,21.07
371,albany,90,81,-82.55068456202719,43.29,11.41
372,castro,48,86,-54.43544455142755,57.97,10.89
373,mehran,0,64,33.12811451395474,33.8,6.93
374,yar-sale,76,96,77.1082827147469,10.45,8.37
375,sao+filipe,20,100,11.276092591301577,76.6,10.56
376,ahome,40,77,25.739077681485753,66.2,6.93
377,monrovia,75,94,3.7675551700773013,77.0,7.14
378,punta+arenas,20,75,-82.10666350246969,42.8,5.82
379,marcona,100,100,-19.058723354011676,62.65,12.39
380,port-gentil,76,100,0.08078444800220552,79.21,6.02
381,vardo,20,78,88.20185995141287,15.8,11.41
382,hithadhoo,88,100,-10.03453547699013,79.44,19.39
383,taolanaro,56,99,-53.86351661645149,35.52,27.78
384,la+baule-escoublac,40,89,46.241528661086335,32.0,3.36
385,patiala,0,63,30.338187434601352,67.87,4.52
386,chake+chake,68,97,-6.10520033754041,81.91,5.08
387,wajir,90,88,2.823723661590037,75.2,8.05
388,qaanaaq,0,84,77.89523231071135,4.47,8.1
389,hermanus,64,84,-70.15097535831664,62.34,4.23
390,puerto+ayora,32,100,-5.410256639511331,69.22,6.42
391,yellowknife,90,92,71.02032218403622,6.8,2.24
392,meulaboh,92,100,-2.021973423934128,75.25,8.37
393,chicama,0,88,-12.30812279067149,64.4,5.82
394,marv+dasht,12,87,29.90102593632065,46.4,2.77
395,castro,48,86,-49.67768905783102,57.97,10.89
396,leshukonskoye,92,78,67.00360279579309,25.48,6.91
397,chuy,12,89,-62.51100398980557,61.62,13.8
398,narsaq,64,92,76.99670372861453,32.0,13.87
399,ushuaia,0,70,-87.96706268828933,42.8,3.36
400,georgetown,75,100,-9.415343523119674,75.2,4.7
401,birao,0,30,10.68042859114344,67.24,14.07
402,saryshagan,88,93,46.9734699442665,29.53,10.94
403,albany,90,81,-63.12869068882273,43.29,11.41
404,koslan,88,79,64.41920511205916,22.6,6.76
405,port+blair,24,95,14.367597306902653,85.11,15.41
406,port+alfred,76,87,-59.70165258408643,71.83,9.1
407,mayumba,64,100,-7.835761981091679,76.33,4.74
408,bodden+town,80,100,16.83314450237353,80.38,17.72
409,talnakh,80,89,82.46659312925115,4.29,8.03
410,castro,48,86,-46.46211222097378,57.97,10.89
411,punta+arenas,20,75,-83.65247656215868,42.8,5.82
412,busselton,0,92,-44.38192746827834,69.81,4.9
413,bugry,90,91,60.15697708262269,32.0,15.66
414,veraval,0,48,18.18941683280015,85.51,11.45
415,lamu,20,85,-5.130743211325154,83.08,4.41
416,upernavik,48,100,83.99968371926511,24.72,3.33
417,jamestown,90,69,-8.58280247995468,40.41,6.93
418,gazli,88,92,40.35565070154732,33.04,6.87
419,balabac,48,100,8.552910869043345,83.31,7.25
420,port+elizabeth,75,93,-78.20282189907238,64.4,3.36
421,lebu,0,94,-36.65441035682432,53.83,23.13
422,george,90,100,-34.423161235235014,62.6,2.24
423,aviles,75,93,44.82825928411623,46.4,16.11
424,attawapiskat,12,100,57.60549010709269,25.17,18.21
425,puerto+escondido,44,100,6.303257317515445,82.77,1.99
426,rikitea,92,100,-37.097072633957914,77.14,12.46
427,jalu,0,65,23.6510418351898,48.43,4.07
428,vardo,20,78,87.24488027367306,15.8,11.41
429,upernavik,48,100,89.72353273215228,24.72,3.33
430,tsihombe,36,100,-33.2184942533722,64.81,4.63
431,constitucion,88,94,24.295443443684576,54.1,11.79
432,marawi,36,97,19.740191341217596,77.05,2.33
433,saint-philippe,0,65,-64.31369436548455,81.43,18.34
434,clyde+river,90,92,69.48920007788803,19.4,19.46
435,qaqortoq,56,89,64.18187193171121,32.0,13.87
436,adrar,0,41,27.094947918091037,57.2,9.17
437,albany,90,81,-53.68340584777991,43.66,11.41
438,saskylakh,80,65,70.87338555725654,-14.21,10.33
439,qasigiannguit,48,92,66.42693717400618,28.4,2.24
440,yarmouth,90,93,44.24177775965151,46.18,8.05
441,haikou,75,78,24.684938150724378,73.4,13.42
442,buraydah,75,100,24.27870622321099,55.4,12.75
443,sorland,75,86,71.83154914493204,37.4,21.92
444,vardo,20,78,75.23106081794572,15.8,11.41
445,cape+town,0,77,-77.17193685645192,64.4,9.17
446,jamestown,90,69,-21.8270197628281,40.41,6.93
447,torbay,90,86,42.34740204436133,28.4,14.99
448,geraldton,0,16,-29.352390109317298,91.4,10.29
449,zheleznodorozhnyy,90,86,62.42312080024257,29.3,15.66
450,punta+arenas,20,75,-80.45169433606179,42.8,5.82
451,arraial+do+cabo,92,100,-38.72353156154639,69.04,12.57
452,lahij,0,40,14.039184286036402,80.11,4.23
453,faya,0,70,21.873157409518242,37.99,3.0
454,busselton,0,92,-45.64006449225669,69.81,4.9
455,san+patricio,0,100,1.240861303493503,63.73,2.73
456,yuancheng,56,41,24.091936978313555,38.44,9.44
457,jamestown,90,69,-29.905454856550335,40.41,6.93
458,virginia+beach,90,87,36.87081483793564,50.16,3.29
459,husavik,0,75,66.43833490642942,41.0,14.99
460,rikitea,92,100,-47.238519810136545,77.14,12.46
461,castro,48,86,-53.41812877675897,57.97,10.89
462,nisia+floresta,75,83,-5.5988044259240155,78.8,5.82
463,castro,48,86,-45.84429827698383,57.97,10.89
464,diffa,32,28,13.134057041136685,62.65,10.16
465,chuy,12,89,-67.89537629088011,61.62,13.8
466,talara,64,85,-4.346971969801032,65.8,3.51
467,paradwip,0,100,17.662229975290757,78.99,13.91
468,marcona,92,100,-21.629637667163166,63.42,16.87
469,castro,48,86,-45.96248923419407,57.97,10.89
470,chilca,64,98,-13.097590037702346,61.21,5.91
471,erdenet,20,58,48.101192398598414,24.99,9.15
472,east+london,75,100,-66.2094676755892,64.4,4.7
473,uruzgan,8,27,33.22239408546663,44.07,1.77
474,zhezkazgan,64,90,48.71751645250532,26.56,4.56
475,mercedes,44,65,-35.06944444015315,65.94,9.26
476,buraydah,75,100,28.094634071767487,55.4,12.75
477,grand+river+south+east,0,100,-25.913905519597918,73.54,12.12
478,ushuaia,0,70,-73.58739146939045,42.8,3.36
479,palabuhanratu,56,100,-18.44121049007184,73.14,17.2
480,rikitea,92,100,-54.61762657824838,77.14,12.46
481,busselton,0,92,-66.46721499710301,69.81,4.9
482,thompson,90,92,60.80238734347455,23.0,4.7
483,mitsamiouli,20,78,-9.0906728867009,80.6,2.24
484,saint+george,1,34,31.6657591369664,48.2,2.1
485,nemencine,75,100,54.76519281267571,33.8,13.87
486,punta+arenas,20,75,-75.6570482831429,42.8,5.82
487,markova,0,88,59.12888396767025,33.8,4.47
488,llano+de+piedra,92,100,7.43160005682185,74.44,7.14
489,rikitea,92,100,-35.54396076297478,77.14,12.46
490,busselton,0,92,-72.16598188489164,69.81,4.9
491,rikitea,92,100,-40.29933399746193,77.14,12.46
492,hisor,75,75,38.08216399655029,44.6,2.24
493,hamilton,90,86,34.12941512228319,40.69,10.29
494,anderson,1,86,34.519383740003235,35.67,3.36
495,nanortalik,48,88,54.35339430996649,32.68,12.06
496,puerto+ayora,32,100,3.405282732389807,69.22,6.42
497,beloha,48,69,-28.350839487370834,79.3,11.83
498,bredasdorp,64,88,-42.290447362644144,64.4,3.36
499,punta+arenas,20,75,-83.21675166675274,42.8,5.82
